datetime,datetime_raw,station,pm10_grade,pm10,pm25_grade,pm25,o3_grade,o3,no2_grade,no2,co_grade,co,so2_grade,so2
2026-04-01 00:00:00,2026-03-31:24,평리동,좋음,28.0,보통,16.0,보통,0.0485,좋음,0.0121,좋음,0.33,좋음,0.0014
2026-04-01 01:00:00,2026-04-01:01,평리동,보통,35.0,보통,22.0,보통,0.0519,좋음,0.0106,좋음,0.4,좋음,0.0016
2026-04-01 02:00:00,2026-04-01:02,평리동,좋음,29.0,보통,18.0,보통,0.0503,좋음,0.0102,좋음,0.39,좋음,0.0016
2026-04-01 03:00:00,2026-04-01:03,평리동,좋음,30.0,보통,23.0,보통,0.047,좋음,0.0107,좋음,0.45,좋음,0.0016
2026-04-01 04:00:00,2026-04-01:04,평리동,보통,33.0,보통,17.0,보통,0.0474,좋음,0.0107,좋음,0.42,좋음,0.0016
2026-04-01 05:00:00,2026-04-01:05,평리동,보통,34.0,보통,22.0,보통,0.0437,좋음,0.0124,좋음,0.46,좋음,0.0017
2026-04-01 06:00:00,2026-04-01:06,평리동,보통,39.0,보통,19.0,보통,0.0378,좋음,0.0158,좋음,0.49,좋음,0.0017
2026-04-01 07:00:00,2026-04-01:07,평리동,보통,35.0,보통,20.0,보통,0.0362,좋음,0.017,좋음,0.46,좋음,0.0017
2026-04-01 08:00:00,2026-04-01:08,평리동,보통,45.0,보통,18.0,보통,0.0313,좋음,0.0232,좋음,0.47,좋음,0.0017
2026-04-01 09:00:00,2026-04-01:09,평리동,보통,44.0,보통,20.0,보통,0.0337,좋음,0.0223,좋음,0.48,좋음,0.0018
2026-04-01 10:00:00,2026-04-01:10,평리동,보통,42.0,보통,22.0,보통,0.0368,좋음,0.019,좋음,0.49,좋음,0.0021
2026-04-01 11:00:00,2026-04-01:11,평리동,보통,36.0,보통,23.0,보통,0.044,좋음,0.0153,좋음,0.47,좋음,0.002
2026-04-01 12:00:00,2026-04-01:12,평리동,보통,41.0,보통,25.0,보통,0.0466,좋음,0.0144,좋음,0.47,좋음,0.0018
2026-04-01 13:00:00,2026-04-01:13,평리동,보통,40.0,보통,25.0,보통,0.0466,좋음,0.0142,좋음,0.47,좋음,0.0024
2026-04-01 14:00:00,2026-04-01:14,평리동,보통,45.0,보통,24.0,보통,0.0436,좋음,0.017,좋음,0.45,좋음,0.0024
2026-04-01 15:00:00,2026-04-01:15,평리동,보통,41.0,보통,28.0,보통,0.0414,좋음,0.0198,좋음,0.5,좋음,0.0033
2026-04-01 16:00:00,2026-04-01:16,평리동,보통,46.0,보통,25.0,보통,0.041,좋음,0.0185,좋음,0.47,좋음,0.003
2026-04-01 17:00:00,2026-04-01:17,평리동,보통,40.0,보통,21.0,보통,0.0403,좋음,0.0172,좋음,0.43,좋음,0.0018
2026-04-01 18:00:00,2026-04-01:18,평리동,보통,39.0,보통,25.0,보통,0.0408,좋음,0.0177,좋음,0.42,좋음,0.0019
2026-04-01 19:00:00,2026-04-01:19,평리동,보통,42.0,보통,22.0,보통,0.037,좋음,0.0203,좋음,0.42,좋음,0.0018
2026-04-01 20:00:00,2026-04-01:20,평리동,좋음,30.0,보통,19.0,보통,0.0376,좋음,0.0178,좋음,0.41,좋음,0.0018
2026-04-01 21:00:00,2026-04-01:21,평리동,좋음,23.0,보통,19.0,보통,0.0415,좋음,0.017,좋음,0.38,좋음,0.0015
2026-04-01 22:00:00,2026-04-01:22,평리동,좋음,23.0,보통,19.0,보통,0.0386,좋음,0.017,좋음,0.37,좋음,0.0015
2026-04-01 23:00:00,2026-04-01:23,평리동,좋음,27.0,보통,18.0,보통,0.0327,좋음,0.0193,좋음,0.4,좋음,0.0015
2026-04-02 00:00:00,2026-04-01:24,평리동,좋음,30.0,보통,27.0,보통,0.0348,좋음,0.0173,좋음,0.38,좋음,0.0015
2026-04-02 01:00:00,2026-04-02:01,평리동,좋음,23.0,보통,25.0,보통,0.0319,좋음,0.0174,좋음,0.39,좋음,0.0016
2026-04-02 02:00:00,2026-04-02:02,평리동,보통,34.0,보통,29.0,좋음,0.0296,좋음,0.017,좋음,0.36,좋음,0.0018
2026-04-02 03:00:00,2026-04-02:03,평리동,보통,33.0,좋음,14.0,보통,0.0349,좋음,0.0139,좋음,0.3,좋음,0.0021
2026-04-02 04:00:00,2026-04-02:04,평리동,좋음,29.0,보통,17.0,보통,0.036,좋음,0.014,좋음,0.29,좋음,0.0018
2026-04-02 05:00:00,2026-04-02:05,평리동,보통,33.0,보통,16.0,좋음,0.0211,좋음,0.0246,좋음,0.32,좋음,0.0017
2026-04-02 06:00:00,2026-04-02:06,평리동,보통,31.0,보통,17.0,좋음,0.0044,보통,0.0389,좋음,0.38,좋음,0.0017
2026-04-02 07:00:00,2026-04-02:07,평리동,보통,40.0,보통,20.0,좋음,0.0033,보통,0.0406,좋음,0.45,좋음,0.0018
2026-04-02 08:00:00,2026-04-02:08,평리동,보통,48.0,보통,24.0,좋음,0.0057,보통,0.0412,좋음,0.48,좋음,0.002
2026-04-02 09:00:00,2026-04-02:09,평리동,보통,52.0,보통,22.0,좋음,0.017,보통,0.0352,좋음,0.45,좋음,0.0026
2026-04-02 10:00:00,2026-04-02:10,평리동,보통,38.0,보통,18.0,보통,0.0401,좋음,0.0222,좋음,0.39,좋음,0.0038
2026-04-02 11:00:00,2026-04-02:11,평리동,좋음,30.0,보통,18.0,보통,0.045,좋음,0.0187,좋음,0.4,좋음,0.0047
2026-04-02 12:00:00,2026-04-02:12,평리동,보통,36.0,보통,23.0,보통,0.0526,좋음,0.0156,좋음,0.37,좋음,0.0034
2026-04-02 13:00:00,2026-04-02:13,평리동,보통,33.0,보통,18.0,보통,0.0543,좋음,0.013,좋음,0.37,좋음,0.0032
2026-04-02 14:00:00,2026-04-02:14,평리동,좋음,23.0,좋음,13.0,보통,0.0524,좋음,0.0126,좋음,0.31,좋음,0.0019
2026-04-02 15:00:00,2026-04-02:15,평리동,좋음,30.0,좋음,9.0,보통,0.051,좋음,0.0121,좋음,0.3,좋음,0.0025
2026-04-02 16:00:00,2026-04-02:16,평리동,좋음,23.0,좋음,10.0,보통,0.0505,좋음,0.0125,좋음,0.3,좋음,0.0023
